epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1045.26,0.81239,0.69899,0.91454,0.98758,0.94057,0.995,0.61472,1.3416,0.98577,1.06262,0.000806562,0.000806562,0.000806562
45,1069.05,0.81173,0.70737,0.90423,0.97808,0.5,0.78917,0.52538,1.20862,1.81832,0.98624,0.00079625,0.00079625,0.00079625
46,1092.69,0.78485,0.67822,0.91264,1,0.72984,0.8725,0.62141,1.38284,2.09007,1.02608,0.000785938,0.000785938,0.000785938
47,1116.38,0.80795,0.6569,0.8898,0.91861,0.5,0.69354,0.47932,1.34937,1.99176,1.02728,0.000775625,0.000775625,0.000775625
48,1140.01,0.75913,0.66802,0.89245,0.77638,0.72634,0.7875,0.43475,1.46829,1.80667,1.08288,0.000765313,0.000765313,0.000765313
49,1163.61,0.75772,0.61472,0.90869,1,0.73597,0.8725,0.56725,1.17434,1.78937,0.97785,0.000755,0.000755,0.000755
50,1187.21,0.84051,0.68163,0.9424,0.92029,0.98275,0.995,0.56205,1.33326,0.7745,0.9938,0.000744688,0.000744688,0.000744688
51,1210.94,0.77128,0.65478,0.90481,0.94953,0.98069,0.995,0.58676,1.17373,0.81605,1.00577,0.000734375,0.000734375,0.000734375
52,1234.66,0.73451,0.64167,0.84722,0.83878,0.72917,0.78071,0.54756,1.07935,0.72502,0.9503,0.000724062,0.000724062,0.000724062
53,1258.37,0.75632,0.70166,0.85288,0.95275,0.5,0.62,0.44468,1.31673,1.7236,1.0563,0.00071375,0.00071375,0.00071375
54,1281.94,0.74309,0.67156,0.86477,0.76454,0.73541,0.76321,0.57788,1.24222,1.66628,1.0078,0.000703437,0.000703437,0.000703437
55,1305.53,0.78107,0.62859,0.88899,0.76436,0.73472,0.76625,0.57575,1.18457,1.36216,0.99683,0.000693125,0.000693125,0.000693125
56,1329.24,0.75287,0.6134,0.88001,0.71632,0.71298,0.81643,0.57162,1.23626,1.0365,1.00295,0.000682813,0.000682813,0.000682813
57,1352.8,0.75022,0.59277,0.91468,0.68674,0.73537,0.82833,0.59268,1.29786,0.91596,1.0127,0.0006725,0.0006725,0.0006725
58,1376.46,0.76862,0.62875,0.89801,0.74642,0.74786,0.82833,0.61922,1.30067,0.74001,0.98148,0.000662188,0.000662188,0.000662188
59,1400.03,0.75921,0.60118,0.89141,0.95387,0.75,0.82833,0.59971,1.27064,0.61448,0.9945,0.000651875,0.000651875,0.000651875
60,1423.69,0.73134,0.60252,0.88752,0.87948,0.75,0.845,0.54326,1.4999,0.55833,1.03891,0.000641562,0.000641562,0.000641562
61,1447.37,0.75703,0.60628,0.91509,0.89672,0.75,0.87,0.57746,1.35729,0.50773,1.00952,0.00063125,0.00063125,0.00063125
62,1470.97,0.76544,0.60324,0.8863,0.98577,0.99445,0.995,0.59984,1.41592,0.59099,1.03335,0.000620938,0.000620938,0.000620938
63,1494.54,0.70823,0.70883,0.84346,0.82567,0.72836,0.87,0.65146,1.04498,0.66832,0.9308,0.000610625,0.000610625,0.000610625
64,1518.36,0.7103,0.58443,0.89532,0.81397,0.73595,0.87,0.6432,1.20551,0.66827,0.96495,0.000600313,0.000600313,0.000600313
65,1542.05,0.71487,0.53663,0.8821,0.83611,0.74063,0.845,0.58244,1.24245,0.74966,0.9739,0.00059,0.00059,0.00059
66,1565.75,0.71468,0.58011,0.88888,0.91729,0.98508,0.995,0.62317,1.21691,0.66051,1.00389,0.000579688,0.000579688,0.000579688
67,1589.37,0.7112,0.54635,0.90118,0.90249,0.75,0.8075,0.57523,1.20867,0.64251,1.0053,0.000569375,0.000569375,0.000569375
68,1612.95,0.70178,0.56578,0.88957,0.95872,1,0.995,0.59567,1.22558,0.67658,0.99541,0.000559062,0.000559062,0.000559062
69,1636.54,0.68372,0.56799,0.83757,0.95413,0.99706,0.995,0.59792,1.20032,0.7159,0.99607,0.00054875,0.00054875,0.00054875
70,1660.16,0.78665,0.61718,0.89772,0.98534,0.99912,0.995,0.56852,1.19451,0.70818,1.00321,0.000538438,0.000538438,0.000538438
71,1683.82,0.71078,0.5718,0.87016,0.90462,0.73664,0.82833,0.56071,1.37879,0.66712,1.07613,0.000528125,0.000528125,0.000528125
72,1707.86,0.6861,0.54807,0.88225,0.99216,0.99984,0.995,0.59495,1.3055,0.62974,1.11245,0.000517813,0.000517813,0.000517813
73,1731.54,0.72739,0.56055,0.89668,0.97459,1,0.995,0.54932,1.21694,0.5745,1.05157,0.0005075,0.0005075,0.0005075
74,1755.31,0.70417,0.5457,0.88666,0.95215,0.98328,0.995,0.56832,1.25119,0.64602,1.04972,0.000497188,0.000497188,0.000497188
75,1778.83,0.6845,0.55589,0.88897,0.97304,0.98886,0.995,0.63789,1.05099,0.56245,0.99145,0.000486875,0.000486875,0.000486875
76,1802.41,0.70566,0.5579,0.8968,0.97226,1,0.995,0.59635,1.26473,0.63329,0.99654,0.000476562,0.000476562,0.000476562
77,1826.03,0.71312,0.59335,0.88055,0.95723,0.98384,0.995,0.56492,1.37893,0.70184,1.03575,0.00046625,0.00046625,0.00046625
78,1849.54,0.72643,0.58763,0.90934,0.96497,0.96044,0.995,0.57733,1.43123,0.72169,1.05862,0.000455937,0.000455937,0.000455937
79,1873.13,0.69378,0.54365,0.87052,0.82825,0.60339,0.81643,0.55862,1.40236,1.05439,1.0622,0.000445625,0.000445625,0.000445625
80,1896.74,0.67306,0.53378,0.86652,0.70832,0.7336,0.81643,0.54959,1.43366,0.72336,1.14538,0.000435312,0.000435312,0.000435312
81,1920.34,0.61854,0.54495,0.82257,0.93549,0.75,0.81643,0.52874,1.49298,0.56344,1.19538,0.000425,0.000425,0.000425
82,1943.91,0.66132,0.51789,0.85792,0.91875,0.75,0.8075,0.53119,1.40214,0.62075,1.19517,0.000414688,0.000414688,0.000414688
83,1967.51,0.63675,0.58047,0.83334,0.9323,0.99114,0.995,0.54999,1.43834,0.61173,1.16977,0.000404375,0.000404375,0.000404375
84,1991.15,0.69835,0.5263,0.87613,0.94452,1,0.995,0.60483,1.41865,0.53584,1.15661,0.000394063,0.000394063,0.000394063
85,2014.87,0.69013,0.49342,0.87156,0.92256,1,0.995,0.52349,1.38332,0.56711,1.1153,0.00038375,0.00038375,0.00038375
86,2038.51,0.68421,0.53847,0.88451,0.90993,1,0.995,0.56169,1.23726,0.48111,1.0629,0.000373437,0.000373437,0.000373437
87,2062.14,0.71035,0.53018,0.87242,0.91841,0.99726,0.995,0.61119,1.22008,0.5137,1.05331,0.000363125,0.000363125,0.000363125
88,2085.76,0.66248,0.50569,0.88042,0.97237,0.98158,0.995,0.61283,1.24402,0.65675,1.01275,0.000352812,0.000352812,0.000352812
89,2109.35,0.6637,0.49304,0.86775,0.98931,0.9865,0.995,0.5812,1.32321,0.76766,1.06055,0.0003425,0.0003425,0.0003425
90,2132.88,0.61289,0.4916,0.81748,0.97849,0.97757,0.995,0.58891,1.35647,0.7418,1.10165,0.000332187,0.000332187,0.000332187
91,2156.45,0.64201,0.4987,0.88223,0.94448,0.97967,0.995,0.59924,1.35819,0.65757,1.09178,0.000321875,0.000321875,0.000321875
92,2180.16,0.6922,0.51156,0.86056,0.97867,0.97922,0.995,0.64193,1.26987,0.63413,1.08582,0.000311563,0.000311563,0.000311563
93,2203.79,0.64089,0.50211,0.86691,0.99493,0.98552,0.995,0.63694,1.26735,0.72546,1.07849,0.00030125,0.00030125,0.00030125
94,2227.45,0.63837,0.50226,0.86211,1,0.9935,0.995,0.59887,1.39274,0.67442,1.08138,0.000290937,0.000290937,0.000290937
95,2251.02,0.59256,0.4652,0.82127,0.94992,0.97976,0.995,0.63007,1.2845,0.59138,1.04116,0.000280625,0.000280625,0.000280625
96,2274.72,0.59698,0.49658,0.80436,0.9158,0.98777,0.995,0.59404,1.22585,0.51941,0.97872,0.000270313,0.000270313,0.000270313
97,2298.33,0.63685,0.48417,0.86719,0.92134,0.98486,0.995,0.5931,1.15804,0.5371,0.96172,0.00026,0.00026,0.00026
98,2321.98,0.73391,0.55067,0.86699,0.92711,0.99015,0.995,0.62701,1.10963,0.50202,0.94659,0.000249687,0.000249687,0.000249687
99,2345.7,0.65159,0.48599,0.87333,0.93914,1,0.995,0.63177,1.15593,0.52667,0.95957,0.000239375,0.000239375,0.000239375
100,2369.3,0.6493,0.48519,0.86703,0.93717,0.99568,0.995,0.63503,1.20221,0.58486,0.97166,0.000229063,0.000229063,0.000229063
101,2393.1,0.62767,0.46917,0.86547,0.99696,0.98781,0.995,0.56301,1.19244,0.80825,0.97508,0.00021875,0.00021875,0.00021875
102,2416.76,0.61393,0.47445,0.85364,0.99954,0.97102,0.995,0.58958,1.24332,0.92391,0.98596,0.000208438,0.000208438,0.000208438
103,2440.42,0.65395,0.46853,0.87588,0.99234,0.97172,0.995,0.59013,1.26484,0.81732,0.99121,0.000198125,0.000198125,0.000198125
104,2464.06,0.63819,0.46831,0.8686,1,0.97429,0.995,0.59413,1.29402,0.90386,1.01372,0.000187813,0.000187813,0.000187813
105,2487.63,0.61589,0.47295,0.86145,1,0.97738,0.995,0.58612,1.33155,0.95603,1.02034,0.0001775,0.0001775,0.0001775
106,2511.32,0.62899,0.46918,0.85295,1,0.97733,0.995,0.56325,1.27269,0.84645,0.99856,0.000167188,0.000167188,0.000167188
107,2534.87,0.58413,0.4509,0.80924,1,0.98515,0.995,0.56386,1.29977,0.81092,1.00988,0.000156875,0.000156875,0.000156875
108,2558.52,0.59701,0.47256,0.8577,0.96573,0.98082,0.995,0.60245,1.28394,0.66372,1.00938,0.000146562,0.000146562,0.000146562
109,2582.25,0.6128,0.43956,0.85413,0.9382,0.98602,0.995,0.60369,1.24766,0.60621,0.99936,0.00013625,0.00013625,0.00013625
